name,n_phases,r1,x1,r0,x0,c1,c0,units,r_matrix,x_matrix,c_matrix,rg,xg,rho,symmetrical_components
oh-3x_477aac_477aacn,3,0.12241009,0.39494091,0.25708354,1.1976615,1.11973E-8,4.8372E-9,km,[  0.16730124 |  0.04489115   0.16730124 |  0.04489115   0.04489115   0.16730124 ],[  0.66251444 |  0.26757353   0.66251444 |  0.26757353   0.26757353   0.66251444 ],[  9.07726667 | -2.12003333   9.07726667 | -2.12003333  -2.12003333   9.07726667 ],0.01805,0.155081,100,true
oh-3v_477aac_4/0aaacn,3,0.12241009,0.38976119,0.3361412,1.2772468,1.13545E-8,4.7672E-9,km,[  0.19365379 |  0.07124370   0.19365379 |  0.07124370   0.07124370   0.19365379 ],[  0.68558973 |  0.29582854   0.68558973 |  0.29582854   0.29582854   0.68558973 ],[  9.15873333 | -2.19576667   9.15873333 | -2.19576667  -2.19576667   9.15873333 ],0.01805,0.155081,100,true
oh-1x_1/0acsr_1/0acsrn,1,0.52729604,0.559132,0.84236156,1.395562,9.1185E-9,5.1312E-9,km,[  0.63231788 ],[  0.83794200 ],[  7.78940000 ],0.01805,0.155081,100,true
oh-1x_4/0aaac_4/0aaacn,1,0.27278188,0.51301758,0.4924676,1.255797,9.6689E-9,5.3444E-9,km,[  0.34601045 ],[  0.76061072 ],[  8.22740000 ],0.01805,0.155081,100,true
oh-3x_1/0aaac_1/0aaacn,3,0.54556375,0.52589424,0.8534157999999999,1.4977962,9.829700000000001E-9,4.5149E-9,km,[  0.64818110 |  0.10261735   0.64818110 |  0.10261735   0.10261735   0.64818110 ],[  0.84986156 |  0.32396732   0.84986156 |  0.32396732   0.32396732   0.84986156 ],[  8.05810000 | -1.77160000   8.05810000 | -1.77160000  -1.77160000   8.05810000 ],0.01805,0.155081,100,true
oh-3x_477aac_1/0aaacn,3,0.12241009,0.39494091,0.43025964,1.3668422,1.11973E-8,4.7832E-9,km,[  0.22502661 |  0.10261652   0.22502661 |  0.10261652   0.10261652   0.22502661 ],[  0.71890801 |  0.32396710   0.71890801 |  0.32396710   0.32396710   0.71890801 ],[  9.05926667 | -2.13803333   9.05926667 | -2.13803333  -2.13803333   9.05926667 ],0.01805,0.155081,100,true
oh-1x_1/0aaac_1/0aaacn,1,0.54556375,0.559132,0.86629684,1.4014526,9.1185E-9,5.1312E-9,km,[  0.65247478 ],[  0.83990553 ],[  7.78940000 ],0.01805,0.155081,100,true
oh-1x_2aaac_4/0aaacn,1,0.86867666,0.56322436,1.0883623,1.3060038,8.785800000000001E-9,5.0631E-9,km,[  0.94190521 ],[  0.81081751 ],[  7.54490000 ],0.01805,0.155081,100,true
oh-1x_2aaac_2aaacn,1,0.86867666,0.56322436,1.2522863,1.5109443,8.785800000000001E-9,5.0003E-9,km,[  0.99654654 ],[  0.87913101 ],[  7.52396667 ],0.01805,0.155081,100,true
oh-1x_2al_2aln,1,0.87116211,0.5069411700000001,1.2729157,1.4495467,8.677400000000001E-9,4.9573E-9,km,[  1.00507997 ],[  0.82114301 ],[  7.43736667 ],0.01805,0.155081,100,true
oh-3x_2al_2aln,3,0.871162,0.47370315,1.0834169,1.3530371,9.319100000000001E-9,4.425900000000001E-9,km,[  0.94191363 |  0.07075163   0.94191363 |  0.07075163   0.07075163   0.94191363 ],[  0.76681447 |  0.29311132   0.76681447 |  0.29311132   0.29311132   0.76681447 ],[  7.68803333 | -1.63106667   7.68803333 | -1.63106667  -1.63106667   7.68803333 ],0.01805,0.155081,100,true
oh-3x_477aac_4cun,3,0.12241009,0.39494091,0.49884719,1.4570715,1.11973E-8,4.740000000000001E-9,km,[  0.24788912 |  0.12547903   0.24788912 |  0.12547903   0.12547903   0.24788912 ],[  0.74898444 |  0.35404353   0.74898444 |  0.35404353   0.35404353   0.74898444 ],[  9.04486667 | -2.15243333   9.04486667 | -2.15243333  -2.15243333   9.04486667 ],0.01805,0.155081,100,true
oh-3v_477aac_477aacn,3,0.12241009,0.38976119,0.25767385,1.1994821,1.13545E-8,4.7952E-9,km,[  0.16749801 |  0.04508792   0.16749801 |  0.04508792   0.04508792   0.16749801 ],[  0.65966816 |  0.26990697   0.65966816 |  0.26990697   0.26990697   0.65966816 ],[  9.16806667 | -2.18643333   9.16806667 | -2.18643333  -2.18643333   9.16806667 ],0.01805,0.155081,100,true
oh-1x_2/0cu_2/0cun,1,0.27340324,0.480692,0.50136809,1.2055467,9.177899999999999E-9,5.154399999999999E-9,km,[  0.34939152 ],[  0.72231023 ],[  7.83673333 ],0.01805,0.155081,100,true
oh-3x_4cu_4/0aaacn,3,0.85376372,0.49484991,1.0660179,1.3741868,8.790300000000001E-9,4.3029E-9,km,[  0.92451511 |  0.07075139   0.92451511 |  0.07075139   0.07075139   0.92451511 ],[  0.78796221 |  0.29311230   0.78796221 |  0.29311230   0.29311230   0.78796221 ],[  7.29450000 | -1.49580000   7.29450000 | -1.49580000  -1.49580000   7.29450000 ],0.01805,0.155081,100,true
oh-3x_2aaac_2aaacn,3,0.86867666,0.5299866,1.2363605,1.6002603,9.444200000000001E-9,4.418199999999999E-9,km,[  0.99123794 |  0.12256128   0.99123794 |  0.12256128   0.12256128   0.99123794 ],[  0.88674450 |  0.35675790   0.88674450 |  0.35675790   0.35675790   0.88674450 ],[  7.76886667 | -1.67533333   7.76886667 | -1.67533333  -1.67533333   7.76886667 ],0.01805,0.155081,100,true
oh-3x_1/0aaac_4cun,3,0.54556375,0.52589424,0.92200269,1.5880255,9.829700000000001E-9,4.4764E-9,km,[  0.67104340 |  0.12547965   0.67104340 |  0.12547965   0.12547965   0.67104340 ],[  0.87993799 |  0.35404375   0.87993799 |  0.35404375   0.35404375   0.87993799 ],[  8.04526667 | -1.78443333   8.04526667 | -1.78443333  -1.78443333   8.04526667 ],0.01805,0.155081,100,true
oh-3x_1/0cu_1cun,3,0.34486091,0.4559583,0.6339227,1.371602,9.6953E-9,4.4774E-9,km,[  0.44121484 |  0.09635393   0.44121484 |  0.09635393   0.09635393   0.44121484 ],[  0.76117287 |  0.30521457   0.76117287 |  0.30521457   0.30521457   0.76117287 ],[  7.95600000 | -1.73930000   7.95600000 | -1.73930000  -1.73930000   7.95600000 ],0.01805,0.155081,100,true
oh-1x_477aac_4/0aaacn,1,0.12241009,0.42817866,0.35578771,1.1431984,1.02836E-8,5.5164E-9,km,[  0.20020263 ],[  0.66651857 ],[  8.69453333 ],0.01805,0.155081,100,true
oh-2x_477aac_4/0aaacn,2,0.12241009,0.42797363,0.33495999,1.2067273,1.02888E-8,5.242200000000001E-9,km,[  0.19326006 |  0.07084997   0.19326006 ],[  0.68755819 |  0.25958456   0.68755819 ],[  8.60660000 | -1.68220000   8.60660000 ],0.01805,0.155081,100,true
oh-3x_477aac_4/0aaacn,3,0.12241009,0.39494091,0.33466485,1.2742766,1.11973E-8,4.808900000000001E-9,km,[  0.19316168 |  0.07075159   0.19316168 |  0.07075159   0.07075159   0.19316168 ],[  0.68805281 |  0.29311190   0.68805281 |  0.29311190   0.29311190   0.68805281 ],[  9.06783333 | -2.12946667   9.06783333 | -2.12946667  -2.12946667   9.06783333 ],0.01805,0.155081,100,true
oh-3x_2cu_4cun,3,0.54419673,0.47441863,0.92063567,1.5365511,9.308400000000001E-9,4.365000000000001E-9,km,[  0.66967638 |  0.12547965   0.66967638 |  0.12547965   0.12547965   0.66967638 ],[  0.82846279 |  0.35404416   0.82846279 |  0.35404416   0.35404416   0.82846279 ],[  7.66060000 | -1.64780000   7.66060000 | -1.64780000  -1.64780000   7.66060000 ],0.01805,0.155081,100,true
oh-2x_2cu_4cun,2,0.54419673,0.50745072,0.92130055,1.4695486,8.671799999999999E-9,4.7202E-9,km,[  0.66989800 |  0.12570127   0.66989800 ],[  0.82815001 |  0.32069929   0.82815001 ],[  7.35460000 | -1.31720000   7.35460000 ],0.01805,0.155081,100,true
oh-1x_2cu_4cun,1,0.54419673,0.50765639,0.9372077,1.4467817,8.668100000000001E-9,4.9212E-9,km,[  0.67520039 ],[  0.82069816 ],[  7.41913333 ],0.01805,0.155081,100,true
oh-3x_4cu_4cun,3,0.85376372,0.49484991,1.2302027,1.5569817,8.790300000000001E-9,4.2476E-9,km,[  0.97924338 |  0.12547966   0.97924338 |  0.12547966   0.12547966   0.97924338 ],[  0.84889384 |  0.35404393   0.84889384 |  0.35404393   0.35404393   0.84889384 ],[  7.27606667 | -1.51423333   7.27606667 | -1.51423333  -1.51423333   7.27606667 ],0.01805,0.155081,100,true
oh-2x_4cu_4cun,2,0.85376372,0.52788263,1.2308676,1.4899794,8.220499999999999E-9,4.5833E-9,km,[  0.97946501 |  0.12570129   0.97946501 ],[  0.84858155 |  0.32069892   0.84858155 ],[  7.00810000 | -1.21240000   7.00810000 ],0.01805,0.155081,100,true
oh-1x_4cu_4cun,1,0.85376372,0.52808766,1.2467747,1.4672122,8.217199999999999E-9,4.7725E-9,km,[  0.98476738 ],[  0.84112917 ],[  7.06896667 ],0.01805,0.155081,100,true
oh-3x_4cu_2aln,3,0.85376372,0.49484991,1.2384297,1.5601756,8.790300000000001E-9,4.2655E-9,km,[  0.98198571 |  0.12822199   0.98198571 |  0.12822199   0.12822199   0.98198571 ],[  0.84995847 |  0.35510856   0.84995847 |  0.35510856   0.35510856   0.84995847 ],[  7.28203333 | -1.50826667   7.28203333 | -1.50826667  -1.50826667   7.28203333 ],0.01805,0.155081,100,true
oh-3x_477aac_4/0aan,3,0.12241009,0.39494091,0.33466485,1.2742766,1.11973E-8,4.808900000000001E-9,km,[  0.19316168 |  0.07075159   0.19316168 |  0.07075159   0.07075159   0.19316168 ],[  0.68805281 |  0.29311190   0.68805281 |  0.29311190   0.29311190   0.68805281 ],[  9.06783333 | -2.12946667   9.06783333 | -2.12946667  -2.12946667   9.06783333 ],0.01805,0.155081,100,true
oh-3v_477aac_1/0aaacn,3,0.12241009,0.38976119,0.43283087,1.3712104,1.13545E-8,4.7417E-9,km,[  0.22588368 |  0.10347359   0.22588368 |  0.10347359   0.10347359   0.22588368 ],[  0.71691093 |  0.32714974   0.71691093 |  0.32714974   0.32714974   0.71691093 ],[  9.15023333 | -2.20426667   9.15023333 | -2.20426667  -2.20426667   9.15023333 ],0.01805,0.155081,100,true
oh-1x_2aaac_default,1,0.86867666,0.56322436,1.2522863,1.5109443,8.785800000000001E-9,5.0003E-9,km,[  0.99654654 ],[  0.87913101 ],[  7.52396667 ],0.01805,0.155081,100,true
oh-1x_477aac_477aacn,1,0.12241009,0.42817866,0.26010404,1.0885861,1.02836E-8,5.578E-9,km,[  0.16830807 ],[  0.64831447 ],[  8.71506667 ],0.01805,0.155081,100,true
ug-1c1/0alaer_15,1,0.640012,0.161557,1.50745,1.75537,1.944921E-7,1.11946E-8,km,[  0.92915800 ],[  0.69282800 ],[133.39293333 ],0.01805,0.155081,100,true
ug-1c1/0alurd_15,1,0.571599,0.394881,1.10175,0.422781,3.891497E-7,3.60472E-8,km,[  0.74831600 ],[  0.40418100 ],[271.44886667 ],0.01805,0.155081,100,true
ug-3c1/0alurd_15,3,0.571599,0.394881,1.10175,0.422781,3.891497E-7,2.23987E-8,km,[  0.74831600 |  0.17671700   0.74831600 |  0.17671700   0.17671700   0.74831600 ],[  0.40418100 |  0.00930000   0.40418100 |  0.00930000   0.00930000   0.40418100 ],[266.89936667 |-122.25033333 266.89936667 |-122.25033333 -122.25033333 266.89936667 ],0.01805,0.155081,100,true
1/0a,1,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.25386817 ],[  0.07582623 ],[ 15.00000000 ],0.01805,0.155081,100,false
1/0a3,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.20176167 |  0.01804955   0.20176167 |  0.01804955   0.01804955   0.20176167 ],[  0.28577060 |  0.25445134   0.28577060 |  0.24648656   0.25445134   0.28577060 ],[ 15.00000000 |-12.00000000  15.00000000 |-12.00000000 -12.00000000  15.00000000 ],0.01805,0.155081,100,false
3/0,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.13376924 |  0.01804955   0.13376924 |  0.01804955   0.01804955   0.13376924 ],[  0.28043632 |  0.24912419   0.28043632 |  0.24115942   0.24912419   0.28043632 ],[ 15.00000000 |-12.00000000  15.00000000 |-12.00000000 -12.00000000  15.00000000 ],0.01805,0.155081,100,false
750a,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.04437530 |  0.01804955   0.04437530 |  0.01804955   0.01804955   0.04437530 ],[  0.26150996 |  0.24834508   0.26150996 |  0.24038031   0.24834508   0.26150996 ],[ 15.00000000 |-12.00000000  15.00000000 |-12.00000000 -12.00000000  15.00000000 ],0.01805,0.155081,100,false
3/0a,1,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.16294039 ],[  0.06292751 ],[ 15.00000000 ],0.01805,0.155081,100,false
750a1,1,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.03934840 ],[  0.02733673 ],[ 15.00000000 ],0.01805,0.155081,100,false
